上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录
GSB,TJO,2018/1/21,14:35:00,I,NV676,2018/1/21,7:40:00,I,NV331,North,N,T1,T,33E,PK728
CLL,NMF,2018/1/21,12:10:00,I,NV346,2018/1/21,7:20:00,I,NV659,North,N,T1,T,33L,PK727
DEH,IOE,2018/1/21,13:00:00,I,NV640,2018/1/21,7:00:00,I,NV665,North,N,T1,T,773,PK724
MBY,ZZA,2018/1/21,12:05:00,I,NV318,2018/1/21,6:25:00,I,NV689,North,N,T1,T,773,PK720
NFM,PSE,2018/1/21,11:40:00,I,NV828,2018/1/21,5:55:00,I,NV851,North,N,T1,T,773,PK718
BLM,MBY,2018/1/21,13:20:00,I,NV694,2018/1/21,5:45:00,I,NV891,North,N,T1,T,773,PK716
NMF,TWP,2018/1/21,12:00:00,I,NV602,2018/1/21,5:35:00,I,NV347,North,N,T1,T,33L,PK714
KGL,OSU,2018/1/21,9:10:00,I,NV634,2018/1/21,5:15:00,I,NV309,North,N,T1,T,773,PK712
TZE,TGP,2018/1/21,14:20:00,I,NV690,2018/1/21,5:00:00,I,NV847,North,N,T1,T,773,PK710
TJO,DHL,2018/1/21,17:10:00,I,NV6170,2018/1/21,4:10:00,I,NV677,North,N,T1,T,332,PK706
COF,COF,2018/1/21,21:55:00,I,NV826,2018/1/21,20:00:00,I,NV827,North,N,T1,T,33E,PK640
NFM,TJO,2018/1/21,23:30:00,I,NV654,2018/1/21,19:40:00,I,NV849,North,N,T1,T,33E,PK634
DUT,CLL,2018/1/21,20:40:00,I,NV658,2018/1/21,16:55:00,I,NV391,North,N,T1,T,33L,PK593
OSU,MBY,2018/1/21,21:00:00,I,NV688,2018/1/21,16:35:00,I,NV635,North,N,T1,T,773,PK591
IOM,IOM,2018/1/21,17:20:00,I,NV682,2018/1/21,16:20:00,I,NV683,North,N,T1,T,33L,PK586
TJO,NFM,2018/1/21,19:45:00,I,NV848,2018/1/21,15:30:00,I,NV657,North,N,T1,T,33E,PK570
GDP,TZE,2018/1/21,20:20:00,I,NV672,2018/1/21,14:50:00,I,NV899,North,N,T1,T,33E,PK557
DEH,KGL,2018/1/21,20:00:00,I,NV308,2018/1/21,14:35:00,I,NV681,North,N,T1,T,773,PK551
CLL,IOM,2018/1/20,17:20:00,I,NV682,2018/1/20,7:20:00,I,NV659,North,N,T1,T,33L,PK471
DEH,DEH,2018/1/20,12:25:00,I,NV670,2018/1/20,7:00:00,I,NV665,North,N,T1,T,773,PK468
BNT,IOE,2018/1/20,13:00:00,I,NV640,2018/1/20,6:55:00,I,NV883,North,N,T1,T,33H,PK466
MBY,ZZA,2018/1/20,12:05:00,I,NV318,2018/1/20,6:25:00,I,NV689,North,N,T1,T,773,PK464
DHL,TJO,2018/1/20,14:35:00,I,NV676,2018/1/20,6:25:00,I,NV6181,North,N,T1,T,332,PK463
NFM,PSE,2018/1/20,11:40:00,I,NV828,2018/1/20,5:55:00,I,NV851,North,N,T1,T,773,PK461
DNC,UQF,2018/1/20,12:15:00,I,NV6118,2018/1/20,5:55:00,I,NV343,North,N,T1,T,33E,PK460
BLM,BLM,2018/1/21,0:55:00,I,NV880,2018/1/20,5:45:00,I,NV891,North,N,T1,T,773,PK458
TJO,UQF,2018/1/21,12:10:00,I,NV6118,2018/1/20,5:40:00,I,NV655,North,N,T1,T,332,PK457
NMF,NMF,2018/1/20,12:10:00,I,NV346,2018/1/20,5:35:00,I,NV347,North,N,T1,T,33L,PK456
KGL,OSU,2018/1/20,9:10:00,I,NV634,2018/1/20,5:15:00,I,NV309,North,N,T1,T,773,PK454
TZE,MBY,2018/1/20,13:20:00,I,NV694,2018/1/20,5:00:00,I,NV847,North,N,T1,T,773,PK453
TJO,DUT,2018/1/20,7:55:00,I,NV380,2018/1/20,4:10:00,I,NV677,North,N,T1,T,33L,PK449
TJO,TJO,2018/1/21,9:20:00,I,NV678,2018/1/20,21:30:00,I,NV679,North,N,T1,T,33E,PK411
IOE,DEH,2018/1/21,12:25:00,I,NV670,2018/1/20,21:05:00,I,NV651,North,N,T1,T,33H,PK400
COF,COF,2018/1/20,21:55:00,I,NV826,2018/1/20,20:00:00,I,NV827,North,N,T1,T,33E,PK382
NFM,TJO,2018/1/20,23:30:00,I,NV654,2018/1/20,19:40:00,I,NV849,North,N,T1,T,33E,PK377
TZE,GSB,2018/1/21,0:10:00,I,NV320,2018/1/20,19:30:00,I,NV673,North,N,T1,T,33E,PK373
ZZA,TZE,2018/1/21,0:05:00,I,NV846,2018/1/20,19:20:00,I,NV319,North,N,T1,T,773,PK370
PSE,DEH,2018/1/21,0:05:00,I,NV664,2018/1/20,18:50:00,I,NV829,North,N,T1,T,773,PK363
TGP,NFM,2018/1/21,0:20:00,I,NV840,2018/1/20,18:00:00,I,NV601,North,N,T1,T,773,PK349
MBY,MBY,2018/1/20,21:00:00,I,NV688,2018/1/20,17:50:00,I,NV697,North,N,T1,T,773,PK347
UQF,GDP,2018/1/21,12:30:00,I,NV898,2018/1/20,17:10:00,I,NV6119,North,N,T1,T,33E,PK340
ZWS,BNT,2018/1/21,0:15:00,I,NV882,2018/1/20,16:55:00,I,NV693,North,N,T1,T,33H,PK338
DUT,DNC,2018/1/21,13:40:00,I,NV342,2018/1/20,16:55:00,I,NV391,North,N,T1,T,33L,PK336
OSU,KGL,2018/1/20,20:00:00,I,NV308,2018/1/20,16:35:00,I,NV635,North,N,T1,T,773,PK333
IOM,DUT,2018/1/21,7:55:00,I,NV380,2018/1/20,16:20:00,I,NV683,North,N,T1,T,33L,PK328
TJO,NFM,2018/1/20,19:45:00,I,NV848,2018/1/20,15:30:00,I,NV657,North,N,T1,T,33E,PK316
GDP,TZE,2018/1/20,20:20:00,I,NV672,2018/1/20,15:00:00,I,NV899,North,N,T1,T,33E,PK308
DEH,TJO,2018/1/20,16:10:00,I,NV656,2018/1/20,14:50:00,I,NV681,North,N,T1,T,33H,PK304
GSB,IOE,2018/1/19,13:00:00,I,NV640,2018/1/19,7:40:00,I,NV331,North,N,T1,T,33E,PK224
CLL,TJO,2018/1/19,14:35:00,I,NV676,2018/1/19,7:20:00,I,NV659,North,N,T1,T,33L,PK223
MBY,ZZA,2018/1/19,12:05:00,I,NV318,2018/1/19,6:25:00,I,NV689,North,N,T1,T,773,PK217
NFM,PSE,2018/1/19,11:40:00,I,NV828,2018/1/19,5:55:00,I,NV851,North,N,T1,T,773,PK215
BLM,MBY,2018/1/19,13:20:00,I,NV694,2018/1/19,5:45:00,I,NV891,North,N,T1,T,773,PK213
KGL,OSU,2018/1/19,9:10:00,I,NV634,2018/1/19,5:15:00,I,NV309,North,N,T1,T,773,PK210
ZWS,ZWS,2018/1/19,13:30:00,I,NV692,2018/1/19,5:10:00,I,NV609,North,N,T1,T,33H,PK209
TZE,TGP,2018/1/20,14:20:00,I,NV690,2018/1/19,5:00:00,I,NV847,North,N,T1,T,773,PK208
TJO,DHL,2018/1/19,17:10:00,I,NV6170,2018/1/19,4:10:00,I,NV677,North,N,T1,T,332,PK205
