,Unnamed: 0,Unnamed: 0.1,上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录号,精确到达时间,精确出发时间
0,0,0,CLL,IOM,2018/1/20,17:20:00,I,NV682,2018/1/20,7:20:00,I,NV659,North,N,T1,T,33L,PK471,2018/1/20 7:20:00,2018/1/20 17:20:00
1,1,1,DEH,DEH,2018/1/20,12:25:00,I,NV670,2018/1/20,7:00:00,I,NV665,North,N,T1,T,773,PK468,2018/1/20 7:00:00,2018/1/20 12:25:00
2,2,2,BNT,IOE,2018/1/20,13:00:00,I,NV640,2018/1/20,6:55:00,I,NV883,North,N,T1,T,33H,PK466,2018/1/20 6:55:00,2018/1/20 13:00:00
3,3,3,MBY,ZZA,2018/1/20,12:05:00,I,NV318,2018/1/20,6:25:00,I,NV689,North,N,T1,T,773,PK464,2018/1/20 6:25:00,2018/1/20 12:05:00
4,4,4,DHL,TJO,2018/1/20,14:35:00,I,NV676,2018/1/20,6:25:00,I,NV6181,North,N,T1,T,332,PK463,2018/1/20 6:25:00,2018/1/20 14:35:00
5,5,5,NFM,PSE,2018/1/20,11:40:00,I,NV828,2018/1/20,5:55:00,I,NV851,North,N,T1,T,773,PK461,2018/1/20 5:55:00,2018/1/20 11:40:00
6,6,6,DNC,UQF,2018/1/20,12:15:00,I,NV6118,2018/1/20,5:55:00,I,NV343,North,N,T1,T,33E,PK460,2018/1/20 5:55:00,2018/1/20 12:15:00
7,7,7,NMF,NMF,2018/1/20,12:10:00,I,NV346,2018/1/20,5:35:00,I,NV347,North,N,T1,T,33L,PK456,2018/1/20 5:35:00,2018/1/20 12:10:00
8,8,8,KGL,OSU,2018/1/20,9:10:00,I,NV634,2018/1/20,5:15:00,I,NV309,North,N,T1,T,773,PK454,2018/1/20 5:15:00,2018/1/20 9:10:00
9,9,9,TZE,MBY,2018/1/20,13:20:00,I,NV694,2018/1/20,5:00:00,I,NV847,North,N,T1,T,773,PK453,2018/1/20 5:00:00,2018/1/20 13:20:00
10,10,10,TJO,DUT,2018/1/20,7:55:00,I,NV380,2018/1/20,4:10:00,I,NV677,North,N,T1,T,33L,PK449,2018/1/20 4:10:00,2018/1/20 7:55:00
11,11,11,COF,COF,2018/1/20,21:55:00,I,NV826,2018/1/20,20:00:00,I,NV827,North,N,T1,T,33E,PK382,2018/1/20 20:00:00,2018/1/20 21:55:00
12,12,12,NFM,TJO,2018/1/20,23:30:00,I,NV654,2018/1/20,19:40:00,I,NV849,North,N,T1,T,33E,PK377,2018/1/20 19:40:00,2018/1/20 23:30:00
13,13,13,MBY,MBY,2018/1/20,21:00:00,I,NV688,2018/1/20,17:50:00,I,NV697,North,N,T1,T,773,PK347,2018/1/20 17:50:00,2018/1/20 21:00:00
14,14,14,OSU,KGL,2018/1/20,20:00:00,I,NV308,2018/1/20,16:35:00,I,NV635,North,N,T1,T,773,PK333,2018/1/20 16:35:00,2018/1/20 20:00:00
15,15,15,TJO,NFM,2018/1/20,19:45:00,I,NV848,2018/1/20,15:30:00,I,NV657,North,N,T1,T,33E,PK316,2018/1/20 15:30:00,2018/1/20 19:45:00
16,16,16,GDP,TZE,2018/1/20,20:20:00,I,NV672,2018/1/20,15:00:00,I,NV899,North,N,T1,T,33E,PK308,2018/1/20 15:00:00,2018/1/20 20:20:00
17,17,17,DEH,TJO,2018/1/20,16:10:00,I,NV656,2018/1/20,14:50:00,I,NV681,North,N,T1,T,33H,PK304,2018/1/20 14:50:00,2018/1/20 16:10:00
18,18,18,TZE,TGP,2018/1/20,14:20:00,I,NV690,2018/1/19,5:00:00,I,NV847,North,N,T1,T,773,PK208,2018/1/19 5:00:00,2018/1/20 14:20:00
19,19,19,IOE,GDP,2018/1/20,12:30:00,I,NV898,2018/1/19,21:05:00,I,NV651,North,N,T1,T,33E,PK159,2018/1/19 21:05:00,2018/1/20 12:30:00
20,20,20,TZE,GSB,2018/1/20,0:10:00,I,NV320,2018/1/19,19:30:00,I,NV673,North,N,T1,T,33E,PK131,2018/1/19 19:30:00,2018/1/20 0:10:00
21,21,21,ZZA,TZE,2018/1/20,0:05:00,I,NV846,2018/1/19,19:20:00,I,NV319,North,N,T1,T,773,PK129,2018/1/19 19:20:00,2018/1/20 0:05:00
22,22,22,NBE,ZWS,2018/1/20,0:20:00,I,NV608,2018/1/19,18:05:00,I,NV821,North,N,T1,T,33H,PK108,2018/1/19 18:05:00,2018/1/20 0:20:00
23,23,23,TGP,DEH,2018/1/20,0:05:00,I,NV664,2018/1/19,18:00:00,I,NV601,North,N,T1,T,773,PK107,2018/1/19 18:00:00,2018/1/20 0:05:00
24,24,24,MBY,NFM,2018/1/20,0:20:00,I,NV840,2018/1/19,17:50:00,I,NV697,North,N,T1,T,773,PK104,2018/1/19 17:50:00,2018/1/20 0:20:00
25,25,25,ZWS,MIS,2018/1/20,13:00:00,I,NV662,2018/1/19,16:55:00,I,NV693,North,N,T1,T,33H,PK094,2018/1/19 16:55:00,2018/1/20 13:00:00
26,26,26,MIS,ZWS,2018/1/20,13:30:00,I,NV692,2018/1/19,16:30:00,I,NV663,North,N,T1,T,33H,PK089,2018/1/19 16:30:00,2018/1/20 13:30:00
27,27,27,DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T2,T,320,PK475,2018/1/20 8:35:00,2018/1/20 10:20:00
28,28,28,LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T2,T,73H,PK470,2018/1/20 7:20:00,2018/1/20 8:35:00
29,29,29,ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T2,T,73H,PK465,2018/1/20 6:30:00,2018/1/20 9:20:00
30,30,30,QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T2,T,325,PK455,2018/1/20 5:20:00,2018/1/20 9:25:00
31,31,31,SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T2,T,325,PK450,2018/1/20 4:25:00,2018/1/20 9:15:00
32,32,32,LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,North,W,T2,T,73H,PK409,2018/1/20 21:30:00,2018/1/20 22:30:00
33,33,33,LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,North,W,T2,T,320,PK371,2018/1/20 19:20:00,2018/1/20 23:10:00
34,34,34,CLL,ILU,2018/1/20,20:00:00,I,GN968,2018/1/20,18:50:00,I,GN951,North,W,T2,T,73H,PK361,2018/1/20 18:50:00,2018/1/20 20:00:00
35,35,35,QVT,CLJ,2018/1/20,19:45:00,I,GN978,2018/1/20,18:40:00,I,GN941,North,W,T2,T,73H,PK358,2018/1/20 18:40:00,2018/1/20 19:45:00
36,36,36,ILH,SFQ,2018/1/20,18:40:00,I,NV624,2018/1/20,17:30:00,I,NV619,North,W,T2,T,325,PK344,2018/1/20 17:30:00,2018/1/20 18:40:00
37,37,37,LJK,PLK,2018/1/20,17:35:00,I,NV638,2018/1/20,16:40:00,I,NV307,North,W,T2,T,319,PK334,2018/1/20 16:40:00,2018/1/20 17:35:00
38,38,38,ILH,JDO,2018/1/20,17:30:00,I,NV6162,2018/1/20,15:55:00,I,NV813,North,W,T2,T,325,PK324,2018/1/20 15:55:00,2018/1/20 17:30:00
39,39,39,CLL,CLL,2018/1/20,18:30:00,I,GN964,2018/1/20,15:40:00,I,GN965,North,W,T2,T,73H,PK318,2018/1/20 15:40:00,2018/1/20 18:30:00
40,40,40,UTB,LCW,2018/1/20,17:00:00,I,GN980,2018/1/20,15:25:00,I,GN931,North,W,T2,T,73H,PK314,2018/1/20 15:25:00,2018/1/20 17:00:00
41,41,41,ILH,ILH,2018/1/20,16:15:00,I,NV616,2018/1/20,14:50:00,I,NV613,North,W,T2,T,320,PK303,2018/1/20 14:50:00,2018/1/20 16:15:00
42,42,42,CLL,ILU,2018/1/20,19:30:00,I,GN942,2018/1/20,14:50:00,I,GN953,North,W,T2,T,73H,PK302,2018/1/20 14:50:00,2018/1/20 19:30:00
43,43,43,JDO,UQF,2018/1/20,15:45:00,I,NV6116,2018/1/20,14:00:00,I,NV6153,North,W,T2,T,325,PK292,2018/1/20 14:00:00,2018/1/20 15:45:00
44,44,44,UTB,JDO,2018/1/20,14:45:00,I,GN938,2018/1/20,13:40:00,I,GN913,North,W,T2,T,73H,PK287,2018/1/20 13:40:00,2018/1/20 14:45:00
45,45,45,ILH,LJY,2018/1/20,18:10:00,I,NV830,2018/1/20,12:00:00,I,NV835,North,W,T2,T,325,PK275,2018/1/20 12:00:00,2018/1/20 18:10:00
46,46,46,LJY,ILH,2018/1/20,13:15:00,I,NV610,2018/1/20,11:25:00,I,NV841,North,W,T2,T,325,PK274,2018/1/20 11:25:00,2018/1/20 13:15:00
47,47,47,IOE,JDO,2018/1/20,12:15:00,I,NV6144,2018/1/20,10:20:00,I,NV687,North,W,T2,T,325,PK261,2018/1/20 10:20:00,2018/1/20 12:15:00
48,48,48,NOM,ILH,2018/1/20,12:15:00,I,NV614,2018/1/20,10:20:00,I,NV323,North,W,T2,T,325,PK260,2018/1/20 10:20:00,2018/1/20 12:15:00
49,49,49,DOY,DFC,2018/1/20,0:15:00,I,NV6134,2018/1/19,20:25:00,I,NV317,North,W,T2,T,320,PK149,2018/1/19 20:25:00,2018/1/20 0:15:00
50,50,50,ILH,NOM,2018/1/20,1:50:00,I,NV322,2018/1/19,20:10:00,I,NV621,North,W,T2,T,325,PK144,2018/1/19 20:10:00,2018/1/20 1:50:00
